Date,Drawdown
1998-05-20,-0.12181771379744566
1998-05-21,-0.13019401269233066
1998-05-22,-0.13143451647330318
1998-05-25,-0.12787531403630714
1998-05-26,-0.13006648426624934
1998-05-27,-0.13638493810391328
1998-05-28,-0.14150926213372528
1998-05-29,-0.14519599299680253
1998-06-01,-0.14513222878376197
1998-06-02,-0.1561112669200332
1998-06-03,-0.15644168147851645
1998-06-04,-0.16157180225496837
1998-06-05,-0.17937940793322882
1998-06-08,-0.18569206502425262
1998-06-09,-0.17961707454547116
1998-06-10,-0.19665371292060374
1998-06-11,-0.1940857541590577
1998-06-12,-0.19248585208640157
1998-06-15,-0.2127860588198871
1998-06-16,-0.21513374120911088
1998-06-17,-0.19245107160656116
1998-06-18,-0.20233452462786128
1998-06-19,-0.21814804946194133
1998-06-22,-0.22577077129361856
1998-06-23,-0.2296487947958179
1998-06-24,-0.21651916365608492
1998-06-25,-0.21003840091249915
1998-06-26,-0.21261215642068532
1998-06-29,-0.198966614829987
1998-06-30,-0.20285043507882639
1998-07-01,-0.20738928769799247
1998-07-02,-0.21190495333059833
1998-07-03,-0.22218258512342237
1998-07-06,-0.21225855487564182
1998-07-07,-0.2085254500394439
1998-07-08,-0.20399239416691817
1998-07-09,-0.1978130622486155
1998-07-10,-0.19204529934175707
1998-07-13,-0.19685080230636565
1998-07-14,-0.19255541304608215
1998-07-15,-0.19148301491767128
1998-07-16,-0.18067208243396182
1998-07-17,-0.18255602509198088
1998-07-20,-0.1898251453786146
1998-07-21,-0.19306552675040745
1998-07-22,-0.1942596565582595
1998-07-23,-0.20590532055813737
1998-07-24,-0.21101225434802917
1998-07-27,-0.2174350496252142
1998-07-28,-0.20900658001056893
1998-07-29,-0.20406195512659875
1998-07-30,-0.20398659742027803
1998-07-31,-0.20441555667164224
1998-08-03,-0.21343529444357368
1998-08-04,-0.2137367252688568
1998-08-05,-0.21040939269746295
1998-08-06,-0.21253100196772445
1998-08-07,-0.21313386361829056
1998-08-10,-0.2166408953355261
1998-08-11,-0.2212145284345325
1998-08-12,-0.22432738138024388
