index_name,tradedate,open,high,low,close
N500LOWVOL 50,2015-07-13,5828.69,5910.74,5828.69,5910.74
N500VALUE 50,2015-07-13,3614.77,3657.97,3614.77,3657.97
NSE500,2015-07-13,6964.15,7021.85,6940.25,7016.55
N500Q 50,2015-07-13,5858.05,5927.05,5858.05,5927.05
NSE500,2015-07-14,7030.65,7042.4,7002.0,7020.25
N500Q 50,2015-07-14,5927.05,5974.23,5927.05,5974.23
N500LOWVOL 50,2015-07-14,5910.74,5928.35,5910.74,5928.35
N500VALUE 50,2015-07-14,3657.97,3675.09,3657.97,3675.09
N500MOM 50,2015-07-14,10256.5,10259.8,10256.5,10259.8
N500VALUE 50,2015-07-15,3675.09,3675.09,3662.69,3662.69
N500Q 50,2015-07-15,5974.23,6006.62,5974.23,6006.62
N500LOWVOL 50,2015-07-15,5928.35,5985.52,5928.35,5985.52
NSE500,2015-07-15,7030.85,7075.25,7030.85,7065.65
N500MOM 50,2015-07-15,10259.8,10306.0,10259.8,10306.0
N500VALUE 50,2015-07-16,3662.69,3733.14,3662.69,3733.14
NSE500,2015-07-16,7086.0,7142.2,7086.0,7136.8
N500Q 50,2015-07-16,6006.62,6051.87,6006.62,6051.87
N500MOM 50,2015-07-16,10306.0,10460.1,10306.0,10460.1
N500LOWVOL 50,2015-07-16,5985.52,6033.38,5985.52,6033.38
N500VALUE 50,2015-07-17,3733.14,3762.93,3733.14,3762.93
N500Q 50,2015-07-17,6051.87,6051.87,6051.71,6051.71
N500LOWVOL 50,2015-07-17,6033.38,6039.1,6033.38,6039.1
NSE500,2015-07-17,7154.25,7166.95,7132.6,7148.05
N500MOM 50,2015-07-17,10460.1,10517.4,10460.1,10517.4
N500LOWVOL 50,2015-07-20,6039.1,6056.72,6039.1,6056.72
NSE500,2015-07-20,7161.5,7161.5,7121.15,7148.5
N500Q 50,2015-07-20,6051.71,6064.02,6051.71,6064.02
N500MOM 50,2015-07-20,10517.4,10590.0,10517.4,10590.0
N500VALUE 50,2015-07-20,3762.93,3762.93,3753.5,3753.5
NSE500,2015-07-21,7151.65,7167.25,7060.55,7070.3
N500Q 50,2015-07-21,6064.02,6064.02,6010.23,6010.23
N500VALUE 50,2015-07-21,3753.5,3753.5,3675.58,3675.58
N500MOM 50,2015-07-21,10590.0,10590.0,10426.4,10426.4
N500LOWVOL 50,2015-07-21,6056.72,6056.72,6001.97,6001.97
NSE500,2015-07-22,7058.6,7154.35,7051.25,7149.45
N500VALUE 50,2015-07-22,3675.58,3749.83,3675.58,3749.83
N500MOM 50,2015-07-22,10426.4,10538.1,10426.4,10538.1
N500Q 50,2015-07-22,6010.23,6053.24,6010.23,6053.24
N500LOWVOL 50,2015-07-22,6001.97,6072.06,6001.97,6072.06
NSE500,2015-07-23,7164.4,7172.7,7120.0,7129.35
N500Q 50,2015-07-23,6053.24,6053.24,6018.55,6018.55
N500VALUE 50,2015-07-23,3749.83,3785.49,3749.83,3785.49
N500MOM 50,2015-07-23,10538.1,10571.1,10538.1,10571.1
N500LOWVOL 50,2015-07-23,6072.06,6072.06,6040.21,6040.21
NSE500,2015-07-24,7131.0,7131.9,7068.6,7074.95
N500LOWVOL 50,2015-07-24,6040.21,6040.21,6005.37,6005.37
N500VALUE 50,2015-07-24,3785.49,3785.49,3758.13,3758.13
N500MOM 50,2015-07-24,10571.1,10571.1,10520.9,10520.9
N500Q 50,2015-07-24,6018.55,6018.55,5983.92,5983.92
N500MOM 50,2015-07-27,10520.9,10520.9,10393.6,10393.6
N500Q 50,2015-07-27,5983.92,5983.92,5917.13,5917.13
N500LOWVOL 50,2015-07-27,6005.37,6005.37,5918.73,5918.73
N500VALUE 50,2015-07-27,3758.13,3758.13,3695.54,3695.54
NSE500,2015-07-27,7055.7,7055.7,6950.8,6955.35
N500LOWVOL 50,2015-07-28,5918.73,5918.73,5888.45,5888.45
N500Q 50,2015-07-28,5917.13,5917.13,5881.3,5881.3
NSE500,2015-07-28,6968.15,6983.7,6930.0,6935.65
N500MOM 50,2015-07-28,10393.6,10415.5,10393.6,10415.5
N500VALUE 50,2015-07-28,3695.54,3695.54,3673.88,3673.88
N500Q 50,2015-07-29,5881.3,5940.31,5881.3,5940.31
N500MOM 50,2015-07-29,10415.5,10550.0,10415.5,10550.0
NSE500,2015-07-29,6960.15,6977.55,6944.45,6974.15
N500LOWVOL 50,2015-07-29,5888.45,5924.33,5888.45,5924.33
N500VALUE 50,2015-07-29,3673.88,3673.88,3639.95,3639.95
N500MOM 50,2015-07-30,10550.0,10607.6,10550.0,10607.6
NSE500,2015-07-30,7008.75,7046.15,7006.55,7019.6
N500LOWVOL 50,2015-07-30,5924.33,5955.84,5924.33,5955.84
N500Q 50,2015-07-30,5940.31,5967.82,5940.31,5967.82
N500VALUE 50,2015-07-30,3639.95,3688.43,3639.95,3688.43
N500Q 50,2015-07-31,5967.82,6045.17,5967.82,6045.17
N500VALUE 50,2015-07-31,3688.43,3738.61,3688.43,3738.61
N500LOWVOL 50,2015-07-31,5955.84,6016.6,5955.84,6016.6
N500MOM 50,2015-07-31,10607.6,10720.1,10607.6,10720.1
NSE500,2015-07-31,7045.7,7117.2,7045.7,7106.2
N500VALUE 50,2015-08-03,3738.61,3807.05,3738.61,3807.05
N500MOM 50,2015-08-03,10720.1,10810.7,10720.1,10810.7
NSE500,2015-08-03,7099.75,7146.9,7099.75,7129.0
N500Q 50,2015-08-03,6045.17,6045.17,6032.63,6032.63
N500LOWVOL 50,2015-08-03,6016.6,6026.48,6016.6,6026.48
N500MOM 50,2015-08-04,10810.7,11008.8,10810.7,11008.8
NSE500,2015-08-04,7150.2,7154.05,7074.75,7136.3
N500VALUE 50,2015-08-04,3807.05,3848.65,3807.05,3848.65
N500LOWVOL 50,2015-08-04,6026.48,6026.48,6020.54,6020.54
N500Q 50,2015-08-04,6032.63,6045.62,6032.63,6045.62
N500MOM 50,2015-08-05,11008.8,11109.3,11008.8,11109.3
N500LOWVOL 50,2015-08-05,6020.54,6082.0,6020.54,6082.0
NSE500,2015-08-05,7166.75,7207.95,7166.75,7186.25
N500VALUE 50,2015-08-05,3848.65,3879.08,3848.65,3879.08
N500Q 50,2015-08-05,6045.62,6119.37,6045.62,6119.37
N500Q 50,2015-08-06,6119.37,6152.41,6119.37,6152.41
N500LOWVOL 50,2015-08-06,6082.0,6101.76,6082.0,6101.76
NSE500,2015-08-06,7203.3,7214.3,7174.35,7202.0
N500VALUE 50,2015-08-06,3879.08,3919.71,3879.08,3919.71
N500MOM 50,2015-08-06,11109.3,11109.3,11052.3,11052.3
N500LOWVOL 50,2015-08-07,6101.76,6101.76,6083.84,6083.84
N500MOM 50,2015-08-07,11052.3,11052.3,11018.6,11018.6
NSE500,2015-08-07,7200.2,7213.0,7175.0,7183.85
N500Q 50,2015-08-07,6152.41,6152.41,6139.59,6139.59
N500VALUE 50,2015-08-07,3919.71,3934.87,3919.71,3934.87
NSE500,2015-08-10,7197.3,7233.75,7138.35,7157.55
N500Q 50,2015-08-10,6139.59,6140.95,6139.59,6140.95
N500LOWVOL 50,2015-08-10,6083.84,6083.84,6070.57,6070.57
N500VALUE 50,2015-08-10,3934.87,3934.87,3907.17,3907.17
N500MOM 50,2015-08-10,11018.6,11018.6,10999.0,10999.0
N500LOWVOL 50,2015-08-11,6070.57,6070.57,6044.11,6044.11
N500Q 50,2015-08-11,6140.95,6140.95,6120.96,6120.96
N500MOM 50,2015-08-11,10999.0,10999.0,10868.3,10868.3
N500VALUE 50,2015-08-11,3907.17,3907.17,3832.87,3832.87
NSE500,2015-08-11,7179.2,7179.2,7079.15,7101.1
N500VALUE 50,2015-08-12,3832.87,3832.87,3718.61,3718.61
N500LOWVOL 50,2015-08-12,6044.11,6044.11,5985.13,5985.13
NSE500,2015-08-12,7086.75,7086.75,6979.6,6986.45
N500Q 50,2015-08-12,6120.96,6120.96,6084.96,6084.96
N500MOM 50,2015-08-12,10868.3,10868.3,10595.9,10595.9
NSE500,2015-08-13,7017.85,7059.15,6964.85,6976.6
N500VALUE 50,2015-08-13,3718.61,3718.61,3664.93,3664.93
N500MOM 50,2015-08-13,10595.9,10595.9,10520.4,10520.4
N500LOWVOL 50,2015-08-13,5985.13,5993.47,5985.13,5993.47
N500Q 50,2015-08-13,6084.96,6084.96,6077.47,6077.47
N500LOWVOL 50,2015-08-14,5993.47,6102.44,5993.47,6102.44
NSE500,2015-08-14,7015.8,7120.0,7001.15,7112.5
N500Q 50,2015-08-14,6077.47,6161.7,6077.47,6161.7
N500MOM 50,2015-08-14,10520.4,10750.8,10520.4,10750.8
N500VALUE 50,2015-08-14,3664.93,3752.05,3664.93,3752.05
N500MOM 50,2015-08-17,10750.8,10767.1,10750.8,10767.1
N500VALUE 50,2015-08-17,3752.05,3784.31,3752.05,3784.31
NSE500,2015-08-17,7125.5,7125.5,7048.45,7098.7
N500Q 50,2015-08-17,6161.7,6168.27,6161.7,6168.27
N500LOWVOL 50,2015-08-17,6102.44,6102.44,6068.31,6068.31
NSE500,2015-08-18,7126.35,7147.95,7076.5,7106.4
N500Q 50,2015-08-18,6168.27,6178.26,6168.27,6178.26
N500LOWVOL 50,2015-08-18,6068.31,6078.49,6068.31,6078.49
N500VALUE 50,2015-08-18,3784.31,3817.77,3784.31,3817.77
N500MOM 50,2015-08-18,10767.1,10965.7,10767.1,10965.7
N500LOWVOL 50,2015-08-19,6078.49,6120.07,6078.49,6120.07
N500MOM 50,2015-08-19,10965.7,11017.1,10965.7,11017.1
NSE500,2015-08-19,7108.3,7148.95,7079.55,7125.85
N500Q 50,2015-08-19,6178.26,6227.5,6178.26,6227.5
N500VALUE 50,2015-08-19,3817.77,3817.77,3773.22,3773.22
NSE500,2015-08-20,7111.85,7130.3,7010.7,7016.95
N500MOM 50,2015-08-20,11017.1,11017.1,10841.5,10841.5
N500VALUE 50,2015-08-20,3773.22,3773.22,3657.42,3657.42
N500Q 50,2015-08-20,6227.5,6227.5,6153.46,6153.46
N500LOWVOL 50,2015-08-20,6120.07,6120.07,6038.78,6038.78
N500LOWVOL 50,2015-08-21,6038.78,6038.78,5996.51,5996.51
