Date,PortfolioValue,Positions
1998-08-21,4267031.0238101,1
1998-08-24,4275503.123810099,1
1998-08-25,4302543.7738101,1
1998-08-27,4306493.1738101,1
1998-08-28,4262157.973810099,1
1998-08-31,4268846.473810099,1
1998-09-01,4221995.123810099,1
1998-09-02,4240882.1738101,1
1998-09-03,4249067.623810099,1
1998-09-04,4272477.373810099,1
1998-09-07,4311939.5238101,1
1998-09-08,4330253.2738101,1
1998-09-09,4339617.1738101,1
1998-09-10,4338502.4238101,1
1998-09-11,4317831.7738101,1
1998-09-14,4357102.8238101,1
1998-09-15,4362326.2238101,1
1998-09-16,4357325.7738101,1
1998-09-17,4353344.5238101,1
1998-09-18,4342993.2738101,1
1998-09-21,4340859.3238101,1
1998-09-22,4341591.873810099,1
1998-09-23,4373155.223810099,1
1998-09-24,4414418.4725186,0
1998-09-25,4414418.4725186,0
1998-09-28,4414418.4725186,0
1998-09-29,4414418.4725186,0
1998-09-30,4414418.4725186,0
1998-10-05,4414418.4725186,0
1998-10-06,4414418.4725186,0
1998-10-07,4414418.4725186,0
1998-10-08,4414418.4725186,0
1998-10-09,4414418.4725186,0
1998-10-12,4414418.4725186,0
1998-10-13,4414418.4725186,0
1998-10-14,4414418.4725186,0
1998-10-15,4414418.4725186,0
1998-10-16,4414418.4725186,0
1998-10-19,4414418.4725186,0
1998-10-20,4414418.4725186,0
1998-10-22,4414418.4725186,0
1998-10-23,4414418.4725186,0
1998-10-26,4414418.4725186,0
1998-10-27,4414418.4725186,0
1998-10-28,4414418.4725186,0
1998-10-29,4414418.4725186,0
1998-10-30,4414418.4725186,0
1998-10-31,4414418.4725186,0
1998-11-02,4414418.4725186,0
1998-11-03,4414418.4725186,0
1998-11-05,4414418.4725186,0
1998-11-06,4414418.4725186,0
1998-11-09,4414418.4725186,0
1998-11-10,4414418.4725186,0
1998-11-11,4414418.4725186,0
1998-11-12,4414418.4725186,0
1998-11-13,4414418.4725186,0
1998-11-16,4414418.4725186,0
1998-11-17,4414418.4725186,0
1998-11-18,4414418.4725186,0
1998-11-19,4414418.4725186,0
1998-11-20,4414418.4725186,0
1998-11-21,4414418.4725186,0
1998-11-23,4414418.4725186,0
1998-11-24,4414418.4725186,0
1998-11-26,4414418.4725186,0
1998-11-27,4414418.4725186,0
